edge_type_id target_query source_query target_sections syn_weight dynamics_params delay model_template distance_range
175 node_type_id=='475459689' * "[""basal"", ""apical""]" 8.66891006902e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
176 node_type_id=='476455864' * "[""basal"", ""apical""]" 6.0295255118e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
177 node_type_id=='476457450' * "[""basal"", ""apical""]" 3.6285060701300004e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
178 node_type_id=='314804042' * "[""basal"", ""apical""]" 2.19446294981e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
179 node_type_id=='314822529' * "[""basal"", ""apical""]" 8.50418991462e-05 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
180 node_type_id=='314831019' * "[""basal"", ""apical""]" 3.2328876098799997e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
181 node_type_id=='320207387' * "[""basal"", ""apical""]" 4.87421651171e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
182 node_type_id=='323865917' * "[""basal"", ""apical""]" 1.8150290544599998e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
183 node_type_id=='324025297' * "[""basal"", ""apical""]" 1.8366257082400002e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
184 node_type_id=='349621141' * "[""basal"", ""apical""]" 5.07176531485e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
185 node_type_id=='354190013' * "[""basal"", ""apical""]" 8.34070647575e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
186 node_type_id=='468120757' * "[""basal"", ""apical""]" 5.3440996316099995e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
187 node_type_id=='468193142' * "[""basal"", ""apical""]" 8.26948906135e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
188 node_type_id=='469793303' * "[""basal"", ""apical""]" 1.31435227745e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
189 node_type_id=='473601979' * "[""basal"", ""apical""]" 3.84847203435e-07 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
190 node_type_id=='476048909' * "[""basal"", ""apical""]" 4.55283152296e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
191 node_type_id=='476049169' * "[""basal"", ""apical""]" 8.81039856878e-05 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
192 node_type_id=='476131588' * "[""basal"", ""apical""]" 3.54327619287e-06 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
193 node_type_id=='476216637' * "[""basal"", ""apical""]" 0.000109372029526 AMPA_ExcToExc.json 1.7 exp2syn "[0.0, 150.0]"
