edge_type_id target_query source_query weight_function syn_weight target_sections weight_sigma dynamics_params delay model_template distance_range
152 node_type_id=='471129934' pop_name=='e23Cux2' DirectionRule_EE 0.0012266923638099999 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.8 exp2syn "[0.0, 1e+20]"
153 node_type_id=='471143169' pop_name=='e23Cux2' DirectionRule_EE 0.000522398673419 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.8 exp2syn "[0.0, 1e+20]"
154 node_type_id=='471758398' pop_name=='e23Cux2' DirectionRule_EE 0.0007314280549 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.8 exp2syn "[0.0, 1e+20]"
155 node_type_id=='471767045' pop_name=='e23Cux2' DirectionRule_EE 0.000934646421982 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.8 exp2syn "[0.0, 1e+20]"
156 node_type_id=='485574832' pop_name=='e23Cux2' DirectionRule_EE 0.00098441798224 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.8 exp2syn "[0.0, 1e+20]"
157 node_type_id=='485835055' pop_name=='e23Cux2' DirectionRule_EE 0.0007623689847100001 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.8 exp2syn "[0.0, 1e+20]"
158 node_type_id=='485880739' pop_name=='e23Cux2' DirectionRule_EE 0.000909396317645 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.8 exp2syn "[0.0, 1e+20]"
159 node_type_id=='486052980' pop_name=='e23Cux2' DirectionRule_EE 0.00105769394567 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.8 exp2syn "[0.0, 1e+20]"
160 node_type_id=='486110216' pop_name=='e23Cux2' DirectionRule_EE 0.000810966625951 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.8 exp2syn "[0.0, 1e+20]"
161 node_type_id=='487664663' pop_name=='e23Cux2' DirectionRule_EE 0.00105293410472 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.8 exp2syn "[0.0, 1e+20]"
162 node_type_id=='471129934' pop_name=='i6Pvalb' DirectionRule_others 0.0005409114246649999 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
163 node_type_id=='471143169' pop_name=='i6Pvalb' DirectionRule_others 6.98717883595e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
164 node_type_id=='471758398' pop_name=='i6Pvalb' DirectionRule_others 0.00031339589704 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
165 node_type_id=='471767045' pop_name=='i6Pvalb' DirectionRule_others 0.00016840459746299998 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
166 node_type_id=='485574832' pop_name=='i6Pvalb' DirectionRule_others 0.000153546341004 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
167 node_type_id=='485835055' pop_name=='i6Pvalb' DirectionRule_others 9.273891577200001e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
168 node_type_id=='485880739' pop_name=='i6Pvalb' DirectionRule_others 0.000156540181299 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
169 node_type_id=='486052980' pop_name=='i6Pvalb' DirectionRule_others 0.00029428934158 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
170 node_type_id=='486110216' pop_name=='i6Pvalb' DirectionRule_others 0.000736681634855 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
171 node_type_id=='487664663' pop_name=='i6Pvalb' DirectionRule_others 0.00015111610268 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
172 node_type_id=='471129934' pop_name=='e4Scnn1a' DirectionRule_EE 0.00103795967626 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
173 node_type_id=='471143169' pop_name=='e4Scnn1a' DirectionRule_EE 0.00044308964526699996 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
174 node_type_id=='471758398' pop_name=='e4Scnn1a' DirectionRule_EE 0.0006198463559269999 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
175 node_type_id=='471767045' pop_name=='e4Scnn1a' DirectionRule_EE 0.000794301297115 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
176 node_type_id=='485574832' pop_name=='e4Scnn1a' DirectionRule_EE 0.000835992146815 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
