node_type_id dynamics_params location pop_name model_processing morphology ei population model_type model_template
474626527 474626527_fit.json VisL4 i4Htr3a aibs_perisomatic Htr3a-Cre_NO152_Ai14-182004.05.02.01_491120373_m.swc i v1 biophysical ctdb:Biophys1.hoc
100000112 i4Pvalb_avg_lif.json VisL4 LIFi4Pvalb   i v1 point_process nrn:IntFire1
333604946 333604946_fit.json VisL4 i4Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-176848.03.01.01_491119484_m.swc i v1 biophysical ctdb:Biophys1.hoc
487667205 487667205_fit.json VisL4 i4Pvalb aibs_perisomatic Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc i v1 biophysical ctdb:Biophys1.hoc
100000115 i4Sst_avg_lif.json VisL4 LIFi4Sst   i v1 point_process nrn:IntFire1
313862167 313862167_fit.json VisL4 i4Sst aibs_perisomatic Sst-IRES-Cre_Ai14-167638.05.02.01_501934125_m.swc i v1 biophysical ctdb:Biophys1.hoc
473016550 473016550_fit.json VisL4 i4Sst aibs_perisomatic Sst-IRES-Cre_Ai14-181378.05.01.01_491120060_m.swc i v1 biophysical ctdb:Biophys1.hoc
100000101 e5Rbp4_avg_lif.json VisL5 LIFe5Rbp4   e v1 point_process nrn:IntFire1
471129934 471129934_fit.json VisL5 e5Rbp4 aibs_perisomatic Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc e v1 biophysical ctdb:Biophys1.hoc
471143169 471143169_fit.json VisL5 e5Rbp4 aibs_perisomatic Rbp4-Cre_KL100_Ai14-180747.06.02.01_492413283_m.swc e v1 biophysical ctdb:Biophys1.hoc
471758398 471758398_fit.json VisL5 e5Rbp4 aibs_perisomatic Rbp4-Cre_KL100_Ai14-180748.06.01.01_495335436_m.swc e v1 biophysical ctdb:Biophys1.hoc
471767045 471767045_fit.json VisL5 e5Rbp4 aibs_perisomatic Rbp4-Cre_KL100_Ai14-180748.02.02.01_491771193_m.swc e v1 biophysical ctdb:Biophys1.hoc
