node_type_id model_template dynamics_params model_processing pop_name population ei location model_type morphology
485909730 ctdb:Biophys1.hoc 485909730_fit.json aibs_perisomatic e4other v1 e VisL4 biophysical Cux2-CreERT2_Ai14-205530.03.02.01_500961528_m.swc
486146717 ctdb:Biophys1.hoc 486146717_fit.json aibs_perisomatic e4other v1 e VisL4 biophysical Cux2-CreERT2_Ai14-205221.03.01.01_500961566_m.swc
487601493 ctdb:Biophys1.hoc 487601493_fit.json aibs_perisomatic e4other v1 e VisL4 biophysical Cux2-CreERT2_Ai14-211771.03.01.01_496123846_m.swc
100000114 nrn:IntFire1 i4Htr3a_avg_lif.json  LIFi4Htr3a v1 i VisL4 point_process 
474626527 ctdb:Biophys1.hoc 474626527_fit.json aibs_perisomatic i4Htr3a v1 i VisL4 biophysical Htr3a-Cre_NO152_Ai14-182004.05.02.01_491120373_m.swc
100000112 nrn:IntFire1 i4Pvalb_avg_lif.json  LIFi4Pvalb v1 i VisL4 point_process 
333604946 ctdb:Biophys1.hoc 333604946_fit.json aibs_perisomatic i4Pvalb v1 i VisL4 biophysical Pvalb-IRES-Cre_Ai14-176848.03.01.01_491119484_m.swc
487667205 ctdb:Biophys1.hoc 487667205_fit.json aibs_perisomatic i4Pvalb v1 i VisL4 biophysical Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc
100000115 nrn:IntFire1 i4Sst_avg_lif.json  LIFi4Sst v1 i VisL4 point_process 
313862167 ctdb:Biophys1.hoc 313862167_fit.json aibs_perisomatic i4Sst v1 i VisL4 biophysical Sst-IRES-Cre_Ai14-167638.05.02.01_501934125_m.swc
473016550 ctdb:Biophys1.hoc 473016550_fit.json aibs_perisomatic i4Sst v1 i VisL4 biophysical Sst-IRES-Cre_Ai14-181378.05.01.01_491120060_m.swc
100000101 nrn:IntFire1 e5Rbp4_avg_lif.json  LIFe5Rbp4 v1 e VisL5 point_process 
471129934 ctdb:Biophys1.hoc 471129934_fit.json aibs_perisomatic e5Rbp4 v1 e VisL5 biophysical Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc
471143169 ctdb:Biophys1.hoc 471143169_fit.json aibs_perisomatic e5Rbp4 v1 e VisL5 biophysical Rbp4-Cre_KL100_Ai14-180747.06.02.01_492413283_m.swc
471758398 ctdb:Biophys1.hoc 471758398_fit.json aibs_perisomatic e5Rbp4 v1 e VisL5 biophysical Rbp4-Cre_KL100_Ai14-180748.06.01.01_495335436_m.swc
471767045 ctdb:Biophys1.hoc 471767045_fit.json aibs_perisomatic e5Rbp4 v1 e VisL5 biophysical Rbp4-Cre_KL100_Ai14-180748.02.02.01_491771193_m.swc
485574832 ctdb:Biophys1.hoc 485574832_fit.json aibs_perisomatic e5Rbp4 v1 e VisL5 biophysical Rbp4-Cre_KL100_Ai14-203498.04.02.01_496001061_m.swc
485835055 ctdb:Biophys1.hoc 485835055_fit.json aibs_perisomatic e5Rbp4 v1 e VisL5 biophysical Rbp4-Cre_KL100_Ai14-204744.04.01.01_496123897_m.swc
485880739 ctdb:Biophys1.hoc 485880739_fit.json aibs_perisomatic e5Rbp4 v1 e VisL5 biophysical Rbp4-Cre_KL100_Ai14-204745.05.01.01_496001050_m.swc
486052980 ctdb:Biophys1.hoc 486052980_fit.json aibs_perisomatic e5Rbp4 v1 e VisL5 biophysical Rbp4-Cre_KL100_Ai14-205726.03.02.01_496001094_m.swc
486110216 ctdb:Biophys1.hoc 486110216_fit.json aibs_perisomatic e5Rbp4 v1 e VisL5 biophysical Rbp4-Cre_KL100_Ai14-205727.04.02.01_496085260_m.swc
487664663 ctdb:Biophys1.hoc 487664663_fit.json aibs_perisomatic e5Rbp4 v1 e VisL5 biophysical Rbp4-Cre_KL100_Ai14-211531.03.01.01_496085294_m.swc
100000119 nrn:IntFire1 e5noRbp4_avg_lif.json  LIFe5noRbp4 v1 e VisL5 point_process 
314804042 ctdb:Biophys1.hoc 314804042_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Rorb-IRES2-Cre-D_Ai14-168053.05.01.01_491392788_m.swc
314831019 ctdb:Biophys1.hoc 314831019_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Scnn1a-Tg3-Cre_Ai14-168093.03.02.01_491119592_m.swc
320207387 ctdb:Biophys1.hoc 320207387_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Scnn1a-Tg3-Cre_Ai14-170426.03.01.01_491392845_m.swc
323865917 ctdb:Biophys1.hoc 323865917_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Scnn1a-Tg3-Cre_Ai14-172530.06.01.01_492413272_m.swc
324025297 ctdb:Biophys1.hoc 324025297_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Rorb-IRES2-Cre-D_Ai14-172651.04.01.01_491458287_m.swc
349621141 ctdb:Biophys1.hoc 349621141_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Scnn1a-Tg2-Cre_Ai14-176961.06.02.01_491253847_m.swc
354190013 ctdb:Biophys1.hoc 354190013_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Scnn1a-Tg2-Cre_Ai14-176962.05.01.01_495335447_m.swc
468120757 ctdb:Biophys1.hoc 468120757_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Scnn1a-Tg3-Cre_Ai14-177297.05.02.01_495335458_m.swc
468193142 ctdb:Biophys1.hoc 468193142_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Scnn1a-Tg3-Cre_Ai14-177297.06.01.01_491120155_m.swc
469793303 ctdb:Biophys1.hoc 469793303_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Scnn1a-Tg3-Cre_Ai14-180214.05.02.01_492413246_m.swc
473601979 ctdb:Biophys1.hoc 473601979_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Rorb-IRES2-Cre-D_Ai14-181715.04.01.01_491392833_m.swc
476048909 ctdb:Biophys1.hoc 476048909_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Rorb-IRES2-Cre-D_Ai14-187416.05.01.01_491796267_m.swc
476131588 ctdb:Biophys1.hoc 476131588_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Scnn1a-Tg3-Cre_Ai14-187849.06.02.01_491392799_m.swc
480116737 ctdb:Biophys1.hoc 480116737_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Rorb-IRES2-Cre-D_Ai14-197332.04.02.01_492100936_m.swc
480169178 ctdb:Biophys1.hoc 480169178_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Rorb-IRES2-Cre-D_Ai14-197353.06.02.01_496079587_m.swc
480351780 ctdb:Biophys1.hoc 480351780_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc
480353286 ctdb:Biophys1.hoc 480353286_fit.json aibs_perisomatic e5noRbp4 v1 e VisL5 biophysical Rorb-IRES2-Cre-D_Ai14-197851.05.02.01_492413372_m.swc
100000109 nrn:IntFire1 i5Htr3a_avg_lif.json  LIFi5Htr3a v1 i VisL5 point_process 
478110866 ctdb:Biophys1.hoc 478110866_fit.json aibs_perisomatic i5Htr3a v1 i VisL5 biophysical Htr3a-Cre_NO152_Ai14-192821.05.01.01_491771409_m.swc
481001895 ctdb:Biophys1.hoc 481001895_fit.json aibs_perisomatic i5Htr3a v1 i VisL5 biophysical Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc
481136138 ctdb:Biophys1.hoc 481136138_fit.json aibs_perisomatic i5Htr3a v1 i VisL5 biophysical Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc
482644550 ctdb:Biophys1.hoc 482644550_fit.json aibs_perisomatic i5Htr3a v1 i VisL5 biophysical Htr3a-Cre_NO152_Ai14-200442.05.02.01_495337161_m.swc
100000111 nrn:IntFire1 i5Pvalb_avg_lif.json  LIFi5Pvalb v1 i VisL5 point_process 
313861608 ctdb:Biophys1.hoc 313861608_fit.json aibs_perisomatic i5Pvalb v1 i VisL5 biophysical Pvalb-IRES-Cre_Ai14-165874.04.02.01_491119570_m.swc
321023397 ctdb:Biophys1.hoc 321023397_fit.json aibs_perisomatic i5Pvalb v1 i VisL5 biophysical Pvalb-IRES-Cre_Ai14-171555.06.01.01_496722847_m.swc
333785962 ctdb:Biophys1.hoc 333785962_fit.json aibs_perisomatic i5Pvalb v1 i VisL5 biophysical Pvalb-IRES-Cre_Ai14-176852.05.02.01_513557613_m.swc
396608557 ctdb:Biophys1.hoc 396608557_fit.json aibs_perisomatic i5Pvalb v1 i VisL5 biophysical Pvalb-IRES-Cre_Ai14-177452.03.02.01_491119336_m.swc
469610831 ctdb:Biophys1.hoc 469610831_fit.json aibs_perisomatic i5Pvalb v1 i VisL5 biophysical Pvalb-IRES-Cre_Ai14-177452.03.01.01_491120251_m.swc
471077857 ctdb:Biophys1.hoc 471077857_fit.json aibs_perisomatic i5Pvalb v1 i VisL5 biophysical Pvalb-IRES-Cre_Ai14-180633.05.01.01_491119234_m.swc
471085676 ctdb:Biophys1.hoc 471085676_fit.json aibs_perisomatic i5Pvalb v1 i VisL5 biophysical Pvalb-IRES-Cre_Ai14-180633.04.01.01_491771159_m.swc
478793814 ctdb:Biophys1.hoc 478793814_fit.json aibs_perisomatic i5Pvalb v1 i VisL5 biophysical Pvalb-IRES-Cre_Ai14-195045.05.02.01_491119688_m.swc
