edge_type_id target_query source_query dynamics_params model_template weight_sigma weight_function distance_range delay syn_weight target_sections
199 node_type_id=='486052980' pop_name=='e4other' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000897951825332 "[""basal"", ""apical""]"
200 node_type_id=='486110216' pop_name=='e4other' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000688643322757 "[""basal"", ""apical""]"
201 node_type_id=='487664663' pop_name=='e4other' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000890493189227 "[""basal"", ""apical""]"
202 node_type_id=='471129934' pop_name=='i5Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000631063328775 "[""somatic"", ""basal"", ""apical""]"
203 node_type_id=='471143169' pop_name=='i5Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 8.1517086419e-05 "[""somatic"", ""basal"", ""apical""]"
204 node_type_id=='471758398' pop_name=='i5Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000365628546548 "[""somatic"", ""basal"", ""apical""]"
205 node_type_id=='471767045' pop_name=='i5Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000196472030373 "[""somatic"", ""basal"", ""apical""]"
206 node_type_id=='485574832' pop_name=='i5Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000179137397837 "[""somatic"", ""basal"", ""apical""]"
207 node_type_id=='485835055' pop_name=='i5Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000108195401734 "[""somatic"", ""basal"", ""apical""]"
208 node_type_id=='485880739' pop_name=='i5Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000182630211517 "[""somatic"", ""basal"", ""apical""]"
