% Model:              ex_vivo_config_full_model_small_extended.mph
% Version:            COMSOL 6.1.0.346
% Date:               Apr 4 2024, 12:04
% Dimension:          3
% Nodes:              10958
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (V)
-166.44631713731894       230.71913432126397       -99.61063883848053       2.0459759860834764E-5
-183.84788415344514       330.0000000000001        -183.84764206347975      0
-154.4045252741734        330                      -105.45087604191069      0
9.388013733967234         181.75389221544538       -188.7191844492222       3.644626704903814E-5
-98.59779563281482        230.40028973486702       -167.14960411030438      2.1965362905858844E-5
-147.27499146865622       250.8005794697341        -214.26636900808117      0
-71.26281700994417        260.64765241335306       -250.04321808800813      0
-126.50116045349411       280.2001448674335        -136.30024007610754      1.2250047066664725E-5
-99.84119959394681        330                      -240.0656784250551       0
-99.75941370611972        330                      -149.8020045918532       0
71.69933427939982         260.6788267697695        -249.91839760988157      0
58.56809889752013         208.73938231785635       -177.05286101766544      3.126202604065856E-5
73.3998704286191          270.3421024521615        -166.68377274315029      1.6286134765947743E-5
-24.960299898486696       216.37112224733963       -190.01641960626375      2.6853159941558524E-5
-62.35985680230321        273.18556112366986       -169.9092120990585       1.5729021079072598E-5
3.913208095360723         273.18556112366986       -182.61402350972432      1.55656933011489E-5
1.959434878635765E-14     330                      -260                     0
32.78671608920814         330                      -175.21162741318486      0
-36.37351172287557        330.00000000000006       -182.787026853518        0
-39.23259056244434        138.70505750316602       -123.93871000522638      1.2077684722433558E-4
-35.75611221756864        177.98145895000047       -124.98600097244746      8.842418270687584E-5
-62.219465927002716       171.45469059898065       -166.28634435108944      4.6256874169032705E-5
-12.557658033974585       147.40990361411338       -158.45474897600985      7.195907195138069E-5
114.01302476803002        210.68420490432317       -158.15591807311569      2.5983239177622727E-5
184.62919337397534        168.01782093913076       -183.0629972279358       0
214.26636900036158        250.80057948308215       -147.27499147988743      0
88.17515181417994         146.24124804295283       -164.97652790268342      4.28471837831874E-5
149.94700204947026        86.04626923084811        -212.4050295458565       0
99.1018693772497          89.71025640457914        -166.55830853496386      3.283563278776863E-5
132.6139762619387         145.3458339023546        -142.53110651318627      3.634313910602543E-5
215.57840396604809        86.2740545313711         -145.34769259761708      0
123.7955908196412         97.0878699740017         -115.90221450825301      5.218458303251205E-5
183.92836348401534        10                       -183.76712730168688      0
122.71202047466528        49.85512820228956        -131.56940217659653      2.366469563051613E-5
99.84119959657264         329.99999999999994       240.06567842396305       0
35.06061909158586         329.99999999999994       183.4318317583153        0
71.26281701133838         260.647652410601         250.04321808761088       0
1.959434878635765E-14     330                      260                      0
8.765154772896475         246.37112224734068       208.3579579395788        1.0309890976008567E-5
70.65806522225965         50.00000000000001        -109.12102259216769      5.466671305414751E-5
93.57252886722249         74.44179663904148        -115.90902065468674      6.438071992822362E-5
98.54546602770209         10                       -141.95942543309047      0
39.085165352559855        50.00000000000001        -85.83710265118695       1.5738870463729925E-4
43.840871783907176        10.000000000000002       -117.58132277994758      0
240.48181232817853        9.99999999999999         -98.83463325717672       0
146.32217157208083        9.999999999999996        -96.58049581822921       0
176.42139540754812        140.86468007814378       -90.38745739588329       3.168453349586886E-5
